storm_number,date,time,lat_n,lon_w,max_winds(kt),landfall_state,storm_names
15,10/11/90,600,26.7,82.6,60,FL,Marco
3,8/20/91,130,44.1,69.1,60,MA,Bob
7,9/25/92,2200,37.8,75.5,55,VA,Danielle
2,6/20/93,900,27.1,97.4,35,TX,Arlene
1,7/3/94,1500,30.4,86.5,55,FL,Alberto
3,8/16/94,0,30,85.6,50,FL,Beryl
12,11/15/94,1300,24.6,81.7,45,FL,Gordon
12,11/16/94,1300,26.5,81.9,45,FL,Gordon
1,6/5/95,1400,29.9,84.4,60,FL,Allison
1,6/5/95,1500,30.1,84.2,55,FL,Allison
4,7/31/95,200,29.2,95.3,40,TX,Dean
11,8/23/95,1800,27,80.2,35,FL,Jerry
1,6/20/96,0,34.7,76.4,35,NC,Arthur
5,9/2/96,1200,40.5,68.3,55,MA,Edouard
10,10/8/96,330,30,83.9,60,FL,Josephine
3,8/22/98,1000,27.8,97.1,40,TX,Charley
6,9/11/98,600,28.2,96.9,45,TX,Frances
8,9/20/98,500,29.1,90.9,35,LA,Hermine
15,11/5/98,1100,26.2,81.9,55,FL,Mitch
5,9/4/99,2100,34.8,76.5,60,NC,Dennis
10,9/21/99,1700,25.9,81.7,50,FL,Harvey
11,9/18/00,300,29.3,83.2,55,FL,Gordon
12,9/22/00,1200,30.5,86.6,35,FL,Helene
1,6/5/01,2100,28.9,95.3,45,TX,Allison
3,8/6/01,500,30.4,86.3,60,FL,Barry
8,9/14/01,1200,27.1,82.6,60,FL,Gabrielle
13,11/5/01,600,23.1,79.7,35,FL,Michelle
2,8/5/02,200,29.4,89.3,35,LA,Bertha
5,9/3/02,45,29.4,81.1,35,FL,Edouard
6,9/7/02,900,28.5,96.3,50,TX,Fay
8,9/11/02,0,35.5,74.7,45,NC,Gustav
9,9/14/02,800,29.1,89.1,50,LA,Hanna
9,9/14/02,1500,30.4,88.4,50,MS/AL,Hanna
10,9/26/02,600,29.1,90.3,55,LA,Isidore
12,10/11/02,1700,33,79.5,35,SC,Kyle
12,10/11/02,2200,33.9,78.4,35,NC,Kyle
3,6/30/03,1900,29.3,91,50,LA,Bill
8,8/16/03,600,25.6,96.2,35,TX,Erika
11,8/31/03,1100,29,95.1,35,TX,Grace
2,8/12/04,1400,29.6,85.1,40,FL,Bonnie
6,9/6/04,1800,30.1,84,50,FL,Frances
8,8/31/04,600,41.5,70.9,35,MA,Hermine
14,10/10/04,1100,29.2,91,35,LA,Matthew
1,6/11/05,1900,30.3,87.5,50,FL,Arlene
3,7/6/05,900,30.2,89.5,45,MS,Cindy
5,7/20/05,1200,24.8,97.6,45,TX,Emily
18,9/21/05,0,24.1,82.7,55,FL,Rita
22,10/5/05,2300,30.4,81.4,45,FL,Tammy
1,6/13/06,1630,29.9,83.7,40,FL,Alberto
3,7/21/06,645,41.3,70.1,45,MA,Beryl
6,8/30/06,300,24.9,80.6,40,FL,Ernesto
6,8/30/06,500,25.2,80.7,40,FL,Ernesto
6,9/1/06,340,33.9,78.1,60,NC,Ernesto
1,5/10/07,1200,30.1,79.9,35,GA,Andrea
2,6/2/07,600,25.1,84.6,35,FL,Barry
7,9/9/07,1530,34.8,76.4,50,NC,Gabrielle
5,8/5/08,1200,29.6,94.2,55,TX,Edouard
6,8/18/08,2030,24.5,81.8,50,FL,Fay
6,8/19/08,845,25.9,81.6,55,FL,Fay
6,8/21/08,1900,29.3,81.1,55,FL,Fay
6,8/23/08,615,29.8,84.7,45,FL,Fay
8,9/6/08,720,33.8,78.7,60,NC/SC,Hanna
4,8/17/09,530,30.4,86.5,40,FL,Claudette
11,11/10/09,0,28.9,88.7,50,LA,Ida
1,7/1/10,0,24.3,97.3,40,TX,Alex
3,7/23/10,1430,25.4,80.2,35,FL,Bonnie
7,9/3/10,1100+C376,35.8,73.7,60,NC,Earl
10,9/7/10,600,26.2,97.7,50,TX,Hermine
9,8/28/11,935,39.4,74.4,60,NJ,Irene
9,8/28/11,1300,40.6,74,55,NY,Irene
13,9/4/11,1030,29.6,92.1,40,LA,Lee
2,5/28/12,410,30.2,81.4,55,FL,Beryl
4,6/26/12,2100,29.3,83.2,35,FL,Debby
1,6/6/13,2200,29.5,83.4,50,FL,Andrea
1,5/10/15,1000,33.8,78.8,40,SC,Ana
2,6/16/15,1645,28.2,96.7,50,TX,Bill
3,6/7/16,200,29.8,83.6,45,FL,Colin
11,9/13/16,1300,29,81.2,30,FL,Julia
3,6/22/17,700,29.8,93.7,45,LA,Cindy
6,7/31/17,1445,27.4,82.7,50,FL,Emily
9,8/30/17,800,29.8,93.5,40,LA,Harvey
12,9/22/17,0,39.5,68.2,40,MA,Jose
15,9/27/17,1800,36,72.6,45,NC,Maria
1,5/28/18,2100,30.5,86,40,FL,Alberto
7,9/3/18,1115,25,80.5,45,FL,Gordon
7,9/3/18,1315,25.2,80.9,45,FL,Gordon
9,9/17/19,1745,28.9,95.4,40,TX,Imelda
1,5/18/20,1800,35.5,74.7,35,NC,Arthur
2,5/27/20,1330,32.9,79.7,45,SC,Bertha
3,6/7/20,2200,29.3,89.8,45,LA,Cristobal
6,7/10/20,2000,39.4,74.4,45,NJ,Fay
22,9/22/20,245,28.4,96.4,45,TX,Beta
29,11/9/20,400,24.9,80.7,55,FL,Eta
29,11/12/20,920,29.2,82.9,45,FL,Eta
3,6/19/21,430,29.2,91,40,LA,Claudette
4,6/28/21,2320,32.3,80.5,35,SC,Danny
5,7/7/21,1430,29.8,83.5,55,FL,Elsa
5,7/9/21,1500,40.9,72.3,50,NY,Elsa
5,7/9/21,1630,41.4,71.7,50,RI,Elsa
6,8/16/21,1900,29.7,85.4,55,FL,Fred
8,8/22/21,1520,41.2,71.6,55,RI,Henri
8,8/22/21,1615,41.3,71.8,55,RI,Henri
13,9/9/21,115,29.7,85.1,50,FL,Mindy
