Wk,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,day_code,hours,null,half,quart,three_quart
2,Ohio,41,Florida Atlantic,38,Ohio,Florida Atlantic,99,99,83,59,0,99,99,5,18,1,0,0,0
2,(2) Ohio State,21,(5) Notre Dame,10,Ohio State,Notre Dame,2,5,84,142,0,2,5,5,19,0,1,0,0
2,(9) Oklahoma,45,Texas-El Paso,13,Oklahoma,Texas-El Paso,9,99,85,195,0,9,99,5,15,0,1,0,0
2,Oregon State,34,Boise State,17,Oregon State,Boise State,99,99,89,21,0,99,99,5,22,0,1,0,0
2,Rutgers,22,Boston College,21,Rutgers,Boston College,99,99,14,158,1,99,99,5,12,1,0,0,0
2,South Alabama,48,Nicholls State,7,South Alabama,Nicholls State,99,99,97,127,0,99,99,5,17,1,0,0,0
2,South Carolina,35,Georgia State,14,South Carolina,Georgia State,99,99,98,68,0,99,99,5,19,0,1,0,0
2,(14) Southern California,66,Rice,14,Southern California,Rice,14,99,100,155,0,14,99,5,18,1,0,0,0
2,Southern Methodist,48,North Texas,10,Southern Methodist,North Texas,99,99,79,175,1,99,99,5,19,0,1,0,0
2,Stanford,41,Colgate,10,Stanford,Colgate,99,99,103,43,0,99,99,5,20,1,0,0,0
2,Syracuse,31,Louisville,7,Syracuse,Louisville,99,99,104,100,0,99,99,5,20,1,0,0,0
2,Texas,52,Louisiana-Monroe,10,Texas,Louisiana-Monroe,99,99,107,99,0,99,99,5,20,1,0,0,0
2,(6) Texas A&M,31,Sam Houston State,0,Texas A&M,Sam Houston State,6,99,108,160,0,6,99,5,12,1,0,0,0
2,Texas Tech,63,Murray State,10,Texas Tech,Murray State,99,99,111,119,0,99,99,5,20,1,0,0,0
2,Tulane,42,Massachusetts,10,Tulane,Massachusetts,99,99,116,104,0,99,99,5,19,1,0,0,0
2,UCLA,45,Bowling Green,17,UCLA,Bowling Green,99,99,118,23,0,99,99,5,14,0,1,0,0
2,Vanderbilt,42,Elon,31,Vanderbilt,Elon,99,99,121,56,0,99,99,5,19,1,0,0,0
2,Virginia,34,Richmond,17,Virginia,Richmond,99,99,122,156,0,99,99,5,12,0,1,0,0
2,Washington,45,Kent State,20,Washington,Kent State,99,99,125,90,0,99,99,5,22,0,1,0,0
2,Washington State,24,Idaho,17,Washington State,Idaho,99,99,126,76,0,99,99,5,21,0,1,0,0
2,(18) Wisconsin,38,Illinois State,0,Wisconsin,Illinois State,18,99,130,79,0,18,99,5,19,1,0,0,0
2,Wyoming,40,Tulsa,37,Wyoming,Tulsa,99,99,131,201,0,99,99,5,15,0,1,0,0
2,Florida State,24,Louisiana State,23,Florida State,Louisiana State,99,99,72,226,3,99,99,6,19,0,1,0,0
2,Western Kentucky,49,Hawaii,17,Western Kentucky,Hawaii,99,99,40,219,1,99,99,6,12,1,0,0,0
2,(4) Clemson,41,Georgia Tech,10,Clemson,Georgia Tech,99,4,39,41,1,4,99,0,20,1,0,0,0
3,Boise State,31,New Mexico,14,Boise State,New Mexico,99,99,75,21,1,99,99,4,21,1,0,0,0
3,Louisville,20,Central Florida,14,Louisville,Central Florida,99,99,19,100,1,99,99,4,19,0,1,0,0
3,Air Force,41,Colorado,10,Air Force,Colorado,99,99,0,44,0,99,99,5,15,0,1,0,0
3,(1) Alabama,20,Texas,19,Alabama,Texas,99,1,107,3,1,1,99,5,12,1,0,0,0
3,Appalachian State,17,(6) Texas A&M,14,Appalachian State,Texas A&M,6,99,108,9,1,99,6,5,15,0,1,0,0
3,(16) Arkansas,44,South Carolina,30,Arkansas,South Carolina,16,99,7,165,0,16,99,5,12,1,0,0,0
3,Auburn,24,San Jose State,16,Auburn,San Jose State,99,99,10,163,0,99,99,5,19,0,1,0,0
3,(21) Brigham Young,26,(9) Baylor,20,Brigham Young,Baylor,21,9,16,19,0,21,9,5,22,0,0,0,1
3,California,20,Nevada-Las Vegas,14,California,Nevada-Las Vegas,99,99,18,123,0,99,99,5,16,1,0,0,0
3,Cincinnati,63,Kennesaw State,10,Cincinnati,Kennesaw State,99,99,22,89,0,99,99,5,15,0,1,0,0
3,(5) Clemson,35,Furman,12,Clemson,Furman,5,99,23,64,0,5,99,5,15,0,1,0,0
3,Coastal Carolina,31,Gardner-Webb,27,Coastal Carolina,Gardner-Webb,99,99,24,65,0,99,99,5,18,1,0,0,0
3,Duke,31,Northwestern,23,Duke,Northwestern,99,99,81,48,1,99,99,5,12,1,0,0,0
3,East Carolina,39,Old Dominion,21,East Carolina,Old Dominion,99,99,29,147,0,99,99,5,18,1,0,0,0
3,Eastern Kentucky,59,Bowling Green,57,Eastern Kentucky,Bowling Green,99,99,15,53,1,99,99,5,16,1,0,0,0
3,Florida Atlantic,42,Southeastern Louisiana,9,Florida Atlantic,Southeastern Louisiana,99,99,32,171,0,99,99,5,18,1,0,0,0
3,(2) Georgia,33,Samford,0,Georgia,Samford,2,99,36,161,0,2,99,5,16,1,0,0,0
3,Georgia Southern,45,Nebraska,42,Georgia Southern,Nebraska,99,99,71,67,1,99,99,5,19,0,1,0,0
3,Georgia Tech,35,Western Carolina,17,Georgia Tech,Western Carolina,99,99,39,217,0,99,99,5,19,1,0,0,0
3,Holy Cross,37,Buffalo,31,Holy Cross,Buffalo,99,99,17,72,1,99,99,5,18,1,0,0,0
3,Illinois,24,Virginia,3,Illinois,Virginia,99,99,42,208,0,99,99,5,16,1,0,0,0
3,Incarnate Word,55,Nevada,41,Incarnate Word,Nevada,99,99,73,80,1,99,99,5,17,0,1,0,0
