Wk,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,day_code
4,Cincinnati,Miami (OH),99,99,72,223,3,5
4,Clemson,Louisiana Tech,5,99,23,97,0,5
4,Coastal Carolina,Buffalo,99,99,24,27,0,5
4,Duke,North Carolina A&T,99,99,28,129,0,5
4,East Carolina,Campbell,99,99,29,31,0,5
4,Eastern Michigan,Arizona State,99,99,6,53,1,5
4,Florida,South Florida,99,99,31,167,0,5
4,Georgia,South Carolina,99,1,98,65,1,5
4,Indiana,Western Kentucky,99,99,43,216,0,5
4,Iowa,Nevada,99,99,44,121,0,5
4,Iowa State,Ohio,99,99,45,141,0,5
4,Kansas,Houston,99,99,41,86,1,5
4,Kent State,Long Island,99,99,49,94,0,5
4,Kentucky,Youngstown State,9,99,50,222,0,5
4,Louisiana State,Mississippi State,99,99,53,114,0,5
4,Maryland,Southern Methodist,99,99,58,173,0,5
4,Massachusetts,Stony Brook,99,99,59,179,0,5
4,Memphis,Arkansas State,99,99,60,13,0,5
4,Michigan,Connecticut,4,99,63,46,0,5
4,Middle Tennessee State,Tennessee State,99,99,65,184,0,5
4,Minnesota,Colorado,99,99,66,44,0,5
4,Mississippi,Georgia Tech,99,99,39,113,1,5
4,Missouri,Abilene Christian,99,99,69,0,0,5
4,Nevada-Las Vegas,North Texas,99,99,74,133,0,5
4,New Mexico,Texas-El Paso,99,99,75,193,0,5
4,North Carolina State,Texas Tech,99,99,78,192,0,5
4,Notre Dame,California,99,99,82,29,0,5
4,Ohio State,Toledo,3,99,84,195,0,5
4,Oklahoma,Nebraska,99,6,71,143,1,5
4,Oklahoma State,Arkansas-Pine Bluff,8,99,86,14,0,5
4,Oregon,Brigham Young,99,99,88,24,0,5
4,Oregon State,Montana State,99,99,72,223,3,5
4,Penn State,Auburn,99,99,10,148,1,5
4,Pittsburgh,Western Michigan,99,99,129,149,1,5
4,Rice,Louisiana,99,99,93,95,0,5
4,Rutgers,Temple,99,99,105,156,1,5
4,Southern California,Fresno State,7,99,100,62,0,5
4,Southern Illinois,Northwestern,99,99,81,172,1,5
4,Southern Mississippi,Northwestern State,99,99,102,139,0,5
4,Syracuse,Purdue,99,99,104,151,0,5
4,Tennessee,Akron,99,99,106,2,0,5
4,Texas,Texas-San Antonio,99,99,107,194,0,5
4,Texas A&M,Miami (FL),99,99,108,107,0,5
4,Tulane,Kansas State,99,99,48,198,1,5
4,Tulsa,Jacksonville State,99,99,117,84,0,5
4,UCLA,South Alabama,99,99,118,162,0,5
4,Utah,San Diego State,99,99,119,160,0,5
4,Vanderbilt,Northern Illinois,99,99,80,203,1,5
4,Virginia,Old Dominion,99,99,122,145,0,5
4,Virginia Tech,Wofford,99,99,123,220,0,5
4,Wake Forest,Liberty,99,99,124,93,0,5
4,Washington,Michigan State,99,99,125,110,0,5
4,Washington State,Colorado State,99,99,126,45,0,5
4,West Virginia,Towson,99,99,127,196,0,5
4,Wisconsin,New Mexico State,99,99,130,125,0,5
4,Hawaii,Duquesne,99,99,40,49,0,6
5,Coastal Carolina,Georgia State,99,99,38,42,1,3
5,Illinois,Chattanooga,99,99,42,38,0,3
5,West Virginia,Virginia Tech,99,99,123,213,1,3
5,Air Force,Nevada,99,99,0,121,0,4
5,Syracuse,Virginia,99,99,104,205,0,4
5,Texas-El Paso,Boise State,99,99,112,21,0,4
5,Alabama,Vanderbilt,2,99,2,203,0,5
5,Auburn,Missouri,99,99,10,115,0,5
5,Baylor,Iowa State,99,99,45,19,1,5
5,Brigham Young,Wyoming,99,99,16,221,0,5
5,Buffalo,Eastern Michigan,99,99,30,27,1,5
5,California,Arizona,99,99,18,10,0,5
5,Central Florida,Georgia Tech,99,99,19,68,0,5
5,Cincinnati,Indiana,99,99,22,80,0,5
5,Clemson,Wake Forest,99,5,124,41,1,5
5,Florida State,Boston College,99,99,34,22,0,5
5,Georgia,Kent State,1,99,36,89,0,5
5,Georgia Southern,Ball State,99,99,37,18,0,5
5,Houston,Rice,99,99,41,153,0,5
5,Iowa,Rutgers,99,99,94,82,1,5
5,James Madison,Appalachian State,99,99,4,85,1,5
5,Kansas,Duke,99,99,47,48,0,5
