Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
2,7:00 PM,Tulane,42,Massachusetts,10,Tulane,Massachusetts,99,99,116,103,0,99,99,2022-09-03,5
2,2:30 PM,UCLA,45,Bowling Green,17,UCLA,Bowling Green,99,99,118,23,0,99,99,2022-09-03,5
2,7:00 PM,Vanderbilt,42,Elon,31,Vanderbilt,Elon,99,99,121,55,0,99,99,2022-09-03,5
2,12:30 PM,Virginia,34,Richmond,17,Virginia,Richmond,99,99,122,154,0,99,99,2022-09-03,5
2,10:30 PM,Washington,45,Kent State,20,Washington,Kent State,99,99,125,89,0,99,99,2022-09-03,5
2,9:30 PM,Washington State,24,Idaho,17,Washington State,Idaho,99,99,126,75,0,99,99,2022-09-03,5
2,7:00 PM,(18) Wisconsin,38,Illinois State,0,Wisconsin,Illinois State,99,99,130,78,0,18,99,2022-09-03,5
2,3:30 PM,Wyoming,40,Tulsa,37,Wyoming,Tulsa,99,99,131,199,0,99,99,2022-09-03,5
2,7:30 PM,Florida State,24,Louisiana State,23,Florida State,Louisiana State,99,99,72,223,3,99,99,2022-09-04,6
2,12:00 AM,Western Kentucky,49,Hawaii,17,Western Kentucky,Hawaii,99,99,40,216,1,99,99,2022-09-04,6
2,8:00 PM,(4) Clemson,41,Georgia Tech,10,Clemson,Georgia Tech,99,4,39,41,1,4,99,2022-09-05,0
3,9:00 PM,Boise State,31,New Mexico,14,Boise State,New Mexico,99,99,75,21,1,99,99,2022-09-09,4
3,7:30 PM,Louisville,20,Central Florida,14,Louisville,Central Florida,99,99,19,99,1,99,99,2022-09-09,4
3,3:30 PM,Air Force,41,Colorado,10,Air Force,Colorado,99,99,0,44,0,99,99,2022-09-10,5
3,12:00 PM,(1) Alabama,20,Texas,19,Alabama,Texas,99,1,107,3,1,1,99,2022-09-10,5
3,3:30 PM,Appalachian State,17,(6) Texas A&M,14,Appalachian State,Texas A&M,6,99,108,9,1,99,6,2022-09-10,5
3,12:00 PM,(16) Arkansas,44,South Carolina,30,Arkansas,South Carolina,99,99,7,163,0,16,99,2022-09-10,5
3,7:30 PM,Auburn,24,San Jose State,16,Auburn,San Jose State,99,99,10,161,0,99,99,2022-09-10,5
3,10:15 PM,(21) Brigham Young,26,(9) Baylor,20,Brigham Young,Baylor,99,9,16,19,0,21,9,2022-09-10,5
3,4:00 PM,California,20,Nevada-Las Vegas,14,California,Nevada-Las Vegas,99,99,18,122,0,99,99,2022-09-10,5
3,3:30 PM,Cincinnati,63,Kennesaw State,10,Cincinnati,Kennesaw State,99,99,22,88,0,99,99,2022-09-10,5
3,3:30 PM,(5) Clemson,35,Furman,12,Clemson,Furman,5,99,23,63,0,5,99,2022-09-10,5
3,6:00 PM,Coastal Carolina,31,Gardner-Webb,27,Coastal Carolina,Gardner-Webb,99,99,24,64,0,99,99,2022-09-10,5
3,12:00 PM,Duke,31,Northwestern,23,Duke,Northwestern,99,99,81,48,1,99,99,2022-09-10,5
3,6:00 PM,East Carolina,39,Old Dominion,21,East Carolina,Old Dominion,99,99,29,145,0,99,99,2022-09-10,5
3,4:00 PM,Eastern Kentucky,59,Bowling Green,57,Eastern Kentucky,Bowling Green,99,99,15,52,1,99,99,2022-09-10,5
3,6:00 PM,Florida Atlantic,42,Southeastern Louisiana,9,Florida Atlantic,Southeastern Louisiana,99,99,32,169,0,99,99,2022-09-10,5
3,4:00 PM,(2) Georgia,33,Samford,0,Georgia,Samford,2,99,36,159,0,2,99,2022-09-10,5
3,7:30 PM,Georgia Southern,45,Nebraska,42,Georgia Southern,Nebraska,99,99,71,66,1,99,99,2022-09-10,5
3,7:00 PM,Georgia Tech,35,Western Carolina,17,Georgia Tech,Western Carolina,99,99,39,214,0,99,99,2022-09-10,5
3,6:00 PM,Holy Cross,37,Buffalo,31,Holy Cross,Buffalo,99,99,17,71,1,99,99,2022-09-10,5
3,4:00 PM,Illinois,24,Virginia,3,Illinois,Virginia,99,99,42,205,0,99,99,2022-09-10,5
3,5:30 PM,Incarnate Word,55,Nevada,41,Incarnate Word,Nevada,99,99,73,79,1,99,99,2022-09-10,5
3,8:00 PM,Indiana,35,Idaho,22,Indiana,Idaho,99,99,43,75,0,99,99,2022-09-10,5
3,4:00 PM,Iowa State,10,Iowa,7,Iowa State,Iowa,99,99,44,83,1,99,99,2022-09-10,5
3,4:00 PM,James Madison,63,Norfolk State,7,James Madison,Norfolk State,99,99,46,127,0,99,99,2022-09-10,5
3,6:00 PM,Kansas,55,West Virginia,42,Kansas,West Virginia,99,99,127,86,1,99,99,2022-09-10,5
3,12:00 PM,Kansas State,40,Missouri,12,Kansas State,Missouri,99,99,48,115,0,99,99,2022-09-10,5
3,7:00 PM,(20) Kentucky,26,(12) Florida,16,Kentucky,Florida,99,99,31,90,1,20,12,2022-09-10,5
3,6:00 PM,Liberty,21,Alabama-Birmingham,14,Liberty,Alabama-Birmingham,99,99,51,6,0,99,99,2022-09-10,5
