first,second,third,fourth,fifth,powerball
13,30,33,45,61,25
14,16,23,50,53,14
27,35,39,51,66,3
1,12,17,39,53,16
3,10,44,55,68,5
6,14,38,39,65,24
4,9,17,27,38,6
1,6,22,42,61,18
34,38,42,61,62,4
5,11,51,56,61,19
17,18,37,44,53,2
11,31,50,52,58,18
21,40,44,50,55,18
2,28,31,44,52,16
4,33,43,53,65,18
4,8,22,32,58,21
1,15,21,32,46,4
20,28,33,63,68,1
15,39,58,63,67,20
1,16,48,49,65,7
5,37,40,64,66,8
17,33,35,42,52,5
5,8,17,27,28,4
40,53,60,68,69,9
14,20,39,65,67,14
4,19,23,25,49,22
14,26,38,45,46,2
1,20,22,60,66,14
3,4,11,41,67,13
3,43,45,61,65,3
10,24,27,35,53,5
6,13,38,39,53,14
27,32,34,43,52,18
4,23,37,61,67,6
17,54,56,63,69,13
11,14,31,47,48,7
3,4,6,48,53,20
28,31,40,41,46,4
8,12,18,44,51,10
2,57,58,60,65,4
51,54,57,60,69,18
4,5,17,43,52,26
7,15,18,32,45,11
13,15,17,45,63,5
14,16,37,48,58,20
23,32,33,45,49,13
2,6,40,42,55,18
11,28,37,40,53,14
18,20,27,45,65,24
1,3,13,44,56,13
6,10,31,37,44,6
21,37,52,53,58,26
5,18,23,40,50,23
6,24,30,53,56,5
18,31,36,43,47,18
14,18,36,49,67,19
11,21,27,36,62,20
8,17,49,52,59,18
11,14,23,47,57,24
10,17,31,51,53,1
16,17,20,53,67,14
27,52,55,60,64,1
15,21,22,27,47,4
1,4,11,20,69,21
5,21,22,29,43,7
8,12,19,47,58,18
19,30,36,42,66,10
13,23,47,55,58,2
5,12,34,45,56,14
2,6,18,36,37,23
2,3,14,40,51,3
7,14,17,57,65,21
6,25,36,43,48,24
7,29,35,40,45,24
5,21,36,61,62,24
16,25,36,44,55,26
13,16,32,58,59,18
27,47,61,62,69,14
14,19,61,62,64,9
3,10,34,36,62,4
16,21,27,60,61,4
15,28,52,53,63,5
9,36,49,56,62,6
15,22,27,33,46,18
10,31,41,63,67,8
7,10,63,64,68,23
2,12,32,50,65,5
10,33,41,52,54,10
1,17,38,68,69,5
1,3,26,41,64,18
13,32,41,58,60,18
38,58,59,64,68,17
2,8,18,21,23,14
18,34,40,42,50,21
8,12,26,39,42,16
39,53,54,56,57,9
12,18,42,48,65,11
7,8,35,50,65,20
13,16,33,58,68,19
2,20,49,61,67,20
1,3,21,47,57,24
1,33,35,40,69,20
4,44,46,56,63,18
10,12,33,36,41,24
22,29,30,42,47,19
2,37,39,48,54,2
8,31,39,40,43,17
33,35,45,48,60,5
7,40,48,55,66,4
5,9,27,39,42,16
2,23,40,59,69,11
15,27,44,59,63,16
9,23,26,30,32,13
4,29,49,50,67,8
7,15,21,33,62,8
18,43,58,60,68,2
24,44,46,50,51,23
8,27,29,36,47,14
25,37,39,61,62,13
10,12,15,19,56,24
16,32,35,36,46,11
14,47,54,55,68,19
35,49,50,59,66,3
23,30,35,41,57,25
12,33,54,57,60,6
9,12,15,31,60,2
2,9,17,36,67,13
11,33,44,59,67,2
20,24,38,56,68,18
39,41,53,55,68,8
3,21,23,31,59,18
2,4,7,43,56,19
1,11,21,25,54,3
49,53,57,59,62,22
20,23,39,59,60,7
2,4,16,30,46,26
19,31,35,50,67,18
14,18,26,39,68,20
3,6,12,32,64,14
24,29,42,44,63,9
18,42,53,62,66,19
8,27,44,51,61,10
15,35,42,63,68,25
15,26,37,53,55,14
28,35,38,61,66,18
7,15,39,40,57,21
14,22,26,55,63,23
23,26,27,28,66,12
14,17,35,38,60,26
15,28,46,62,64,11
3,23,32,37,58,25
19,22,52,56,67,17
3,20,48,54,59,22
5,12,50,61,69,21
14,27,29,59,65,4
1,5,25,63,67,23
12,29,34,53,65,12
5,18,33,43,65,3
6,14,36,51,54,23
4,8,10,43,53,2
15,23,34,51,55,4
37,43,44,45,53,7
1,9,22,36,68,4
14,19,39,47,51,25
11,27,31,36,67,22
6,17,24,53,57,15
11,20,41,42,56,11
4,8,30,52,59,3
14,41,50,56,57,6
9,32,37,41,56,2
5,12,20,21,47,18
12,21,22,29,32,14
18,21,24,30,60,1
10,13,30,51,69,21
35,41,44,58,59,20
8,32,47,53,59,10
3,6,45,66,68,3
14,37,47,55,67,3
1,19,31,48,61,13
22,29,35,53,56,6
5,26,36,64,69,6
19,43,47,60,68,13
13,23,32,35,68,19
7,9,26,44,68,10
4,8,23,46,65,21
40,43,45,50,61,3
13,17,24,59,62,1
1,5,16,22,54,25
3,6,11,14,66,8
4,18,21,26,38,24
8,11,14,16,49,21
5,35,38,42,57,1
9,13,42,48,60,14
17,23,28,34,38,13
6,15,34,45,52,18
3,32,34,42,61,8
1,2,39,43,66,8
7,10,20,44,57,7
2,10,25,66,67,2
7,17,33,61,68,3
6,8,9,37,40,26
1,45,53,64,66,4
6,16,23,30,61,26
5,23,28,56,66,3
2,29,41,45,62,2
6,32,35,36,65,17
3,27,30,63,65,6
1,15,17,46,66,4
4,17,26,32,49,1
12,21,23,39,67,15
15,33,43,59,60,10
16,19,25,32,49,6
21,52,54,64,68,8
16,20,37,44,62,18
24,25,52,60,66,4
10,14,50,53,63,12
30,34,39,53,67,5
18,36,45,47,69,21
5,6,45,55,59,11
6,10,21,35,46,14
1,19,25,27,68,14
21,31,42,49,59,23
4,6,14,20,32,21
27,49,50,51,52,23
29,30,41,48,64,13
2,8,14,24,69,2
5,13,28,38,63,1
10,17,18,43,65,26
2,12,16,29,54,25
8,12,20,21,32,21
23,25,47,48,50,13
5,8,41,65,66,6
14,29,31,56,61,10
7,36,48,57,58,24
6,19,37,49,59,20
3,7,15,27,69,1
8,12,42,46,56,24
12,42,51,53,62,22
5,25,38,52,67,19
21,28,30,40,59,12
15,29,31,37,43,25
8,38,43,52,55,24
4,9,21,29,64,26
14,32,34,46,61,16
9,11,36,37,38,17
10,11,47,55,58,26
4,19,59,68,69,10
11,33,51,56,58,11
7,14,23,38,55,26
6,8,20,52,68,21
7,42,49,62,69,18
5,29,34,53,57,18
26,28,34,42,50,5
15,21,24,32,65,23
7,25,39,40,47,24
8,12,13,19,27,25
3,21,45,53,56,11
16,54,57,62,69,20
3,57,64,68,69,4
11,14,32,43,65,22
8,23,27,42,60,23
1,22,27,53,67,15
41,53,59,63,66,15
9,17,34,59,64,7
24,61,63,64,69,15
4,39,48,50,51,3
2,18,19,24,34,22
6,28,48,63,64,8
3,13,20,32,33,18
6,15,50,59,60,11
11,54,55,61,66,3
25,41,53,57,67,24
20,25,54,57,63,21
1,7,45,47,69,13
24,34,52,61,67,9
12,15,28,47,48,12
5,43,56,62,68,8
10,21,30,43,63,13
3,11,38,44,58,16
5,22,32,38,58,16
22,27,46,56,65,24
2,18,41,44,64,17
9,23,56,58,68,2
1,10,27,28,36,26
22,41,42,49,67,13
19,21,27,46,47,26
1,10,43,45,64,1
4,7,15,41,44,12
3,9,20,42,61,11
7,28,37,62,63,7
16,29,43,45,56,22
4,14,23,27,56,10
9,45,57,58,65,24
13,20,38,45,55,15
6,10,15,25,36,25
23,28,41,53,56,13
23,25,37,44,64,9
17,23,26,46,68,1
1,21,31,45,49,14
20,54,56,61,64,14
3,6,9,17,56,7
17,19,21,22,51,20
22,42,45,55,56,21
11,16,38,50,69,7
14,29,36,57,61,25
5,14,31,40,50,19
20,22,28,45,50,14
17,18,39,56,64,19
40,50,54,62,69,17
9,10,12,17,23,6
17,19,26,61,62,8
16,18,27,55,67,12
2,17,20,38,39,19
8,24,42,54,64,9
8,24,52,55,61,15
6,8,26,52,53,18
10,33,45,53,56,20
3,4,18,29,61,24
22,57,59,60,66,21
6,12,24,41,68,21
43,44,54,61,69,24
6,13,19,36,51,25
13,17,25,36,40,7
12,30,59,65,69,9
24,25,38,62,63,22
7,15,31,34,36,18
13,26,39,44,62,5
37,39,44,46,69,16
1,13,27,41,59,6
23,34,35,40,47,8
15,23,27,48,53,2
4,7,14,46,59,26
17,21,26,47,54,20
5,9,11,33,64,10
26,28,47,49,58,6
3,33,37,51,57,22
14,25,35,58,69,7
7,24,33,49,50,21
12,29,30,33,61,3
2,18,37,39,42,21
28,36,41,51,58,24
3,9,16,56,60,4
1,3,13,15,44,26
1,20,61,64,69,12
9,35,37,50,63,24
2,24,28,51,58,3
25,36,37,55,60,25
19,20,50,55,62,20
28,30,32,36,58,11
24,26,28,59,63,7
8,13,27,53,54,6
35,37,46,51,61,9
17,28,31,32,39,6
23,32,44,48,50,16
4,6,16,30,56,4
12,14,20,21,34,13
12,14,26,48,51,26
3,6,19,26,44,25
27,35,38,57,66,18
18,22,29,54,57,22
14,41,42,45,69,13
30,49,54,66,69,1
32,37,56,66,69,10
1,3,13,19,69,8
10,49,61,63,65,4
22,23,62,63,66,8
8,12,25,41,64,11
8,10,21,23,25,23
24,45,55,56,57,7
39,48,53,67,68,24
17,18,24,25,31,15
17,24,35,57,63,22
6,20,29,57,59,19
8,14,32,58,67,26
6,21,41,52,62,24
19,28,43,67,69,19
7,15,32,38,66,22
6,7,16,23,26,17
17,19,39,43,68,26
9,15,43,60,64,7
20,24,26,35,49,15
12,30,36,47,62,4
11,21,28,33,45,13
1,16,54,63,69,4
1,28,40,45,48,19
7,19,21,42,69,9
5,32,44,53,60,11
50,51,59,61,63,18
9,40,63,64,66,12
1,2,18,23,61,12
8,10,29,40,59,9
4,9,16,54,68,4
19,42,45,48,53,17
29,37,46,53,68,9
10,22,32,36,58,26
14,46,61,65,68,21
10,13,32,53,62,16
5,22,43,57,63,8
20,26,32,38,58,10
5,21,57,66,69,13
3,9,21,41,54,21
4,33,39,46,60,24
5,10,28,55,67,3
28,32,33,38,62,13
5,22,45,47,54,25
4,11,39,45,48,6
17,20,32,63,68,9
29,31,46,56,62,15
11,21,31,41,59,3
17,18,49,59,66,9
22,23,24,45,62,19
1,15,18,26,51,8
21,39,41,48,63,21
1,19,37,40,52,9
5,22,26,45,61,5
8,14,61,63,68,26
23,36,51,53,60,6
8,20,46,53,54,15
9,32,36,44,65,13
8,15,31,36,62,24
18,31,32,45,48,15
2,9,27,29,42,13
13,25,44,54,67,1
16,30,41,48,53,11
1,26,41,50,57,16
23,33,42,46,59,9
2,18,19,22,63,5
6,32,47,62,65,16
10,13,28,52,61,11
3,7,9,31,33,4
5,28,33,38,42,19
5,9,17,37,64,19
14,20,42,49,66,2
6,13,16,17,52,20
9,43,57,60,64,19
12,20,39,49,69,2
18,28,62,66,68,5
23,25,45,52,67,25
9,40,41,53,58,10
23,55,59,64,69,17
1,3,13,16,43,22
3,12,24,37,63,2
16,17,29,41,42,12
1,3,28,57,67,13
16,23,30,44,58,24
28,38,42,51,52,10
25,33,40,54,68,4
1,8,16,40,48,9
18,26,37,39,66,4
12,21,32,44,66,21
41,48,49,53,64,3
8,10,26,27,33,10
3,14,18,25,45,15
17,19,21,37,44,15
7,32,41,47,61,20
16,24,28,43,61,22
28,41,61,63,65,7
8,17,20,27,52,16
1,25,28,31,54,3
21,31,50,51,69,21
13,18,37,54,61,7
19,20,21,42,48,24
2,3,16,48,56,2
1,28,33,55,56,8
10,16,38,43,63,5
23,49,57,64,67,23
16,30,34,37,44,24
3,54,61,64,68,22
8,18,27,29,60,23
2,12,50,61,64,20
30,38,52,53,62,16
7,15,20,29,41,9
1,28,63,67,69,15
9,19,51,55,62,1
10,11,23,28,31,1
3,17,49,55,68,22
22,23,29,33,55,17
7,39,50,59,67,14
5,10,24,56,61,14
4,32,48,49,63,8
9,11,25,64,65,21
3,6,21,60,68,25
33,44,49,50,52,12
38,44,60,64,69,20
23,56,61,64,67,16
20,33,36,47,52,24
9,11,27,66,67,8
11,17,21,23,32,6
10,47,50,65,68,12
5,7,23,35,39,12
6,25,35,58,66,2
11,17,40,50,62,5
3,15,29,54,57,24
10,28,32,61,64,11
2,24,31,57,66,5
10,34,39,59,63,26
23,29,37,60,64,10
3,27,36,56,69,12
14,40,42,43,52,18
2,23,41,53,63,4
4,22,24,31,33,6
20,27,36,41,58,25
12,25,37,60,69,17
16,20,22,43,64,11
23,30,33,40,69,10
6,33,34,58,59,7
11,24,41,59,64,20
5,7,9,23,32,17
23,25,39,54,67,12
13,27,47,64,65,12
20,32,52,66,69,15
5,25,26,44,66,26
30,47,57,66,69,11
3,12,16,32,34,9
2,25,33,39,64,23
19,35,46,59,62,9
12,25,30,52,62,3
3,18,25,32,51,14
30,33,35,38,64,17
14,22,23,41,61,13
4,28,49,60,65,8
9,28,30,40,61,3
24,44,53,55,63,22
11,23,42,52,68,9
5,8,15,22,49,25
11,23,43,54,60,3
10,12,13,46,50,19
11,28,50,57,62,6
14,23,32,34,68,25
3,27,34,59,69,3
12,13,44,52,62,21
10,11,21,22,53,23
21,31,64,65,67,3
11,12,15,16,54,19
7,17,27,29,40,6
7,15,18,19,36,18
2,3,40,50,62,5
4,13,31,36,52,25
26,28,31,60,67,25
5,12,16,31,43,20
3,12,40,52,67,5
22,32,34,40,69,8
5,39,44,47,69,23
3,51,52,61,64,18
4,8,19,27,34,21
16,19,32,34,57,19
2,11,47,62,63,24
5,6,15,29,42,6
12,36,38,54,61,10
27,40,44,59,65,13
16,38,55,63,67,17
28,30,41,59,68,10
9,10,32,42,55,22
2,14,19,30,62,20
7,10,16,46,56,25
13,27,33,47,68,10
14,18,19,32,64,6
2,6,47,66,67,22
16,29,53,58,69,1
37,47,50,52,57,13
17,40,41,46,69,9
14,22,37,45,66,2
4,26,32,55,64,21
7,16,25,50,53,21
2,12,17,20,65,6
9,20,25,47,68,5
4,54,56,62,63,18
20,31,56,60,64,15
30,32,42,56,57,17
48,49,57,62,69,7
15,20,29,31,40,10
12,27,29,43,68,2
18,30,40,48,52,11
6,26,33,44,46,19
21,39,40,55,59,1
23,31,42,50,57,1
8,29,41,51,58,9
12,17,26,43,48,4
5,7,24,31,39,17
2,3,13,16,35,5
44,45,47,50,51,5
10,16,18,29,45,24
17,22,30,46,56,7
18,21,25,28,29,27
2,22,32,45,56,8
4,12,14,21,55,19
6,8,43,48,50,16
3,13,17,42,52,16
8,13,29,38,52,12
9,34,48,52,54,7
9,11,14,16,42,7
7,13,24,49,57,24
4,22,27,28,52,28
27,29,34,41,44,15
12,31,43,44,57,19
6,37,39,45,55,15
13,16,34,45,50,35
11,39,46,52,54,2
4,15,25,27,30,11
3,6,14,18,24,33
7,24,26,31,41,11
18,28,35,46,49,3
3,5,10,22,32,18
9,10,16,20,57,21
20,21,22,41,54,25
29,41,48,52,54,27
31,32,48,49,53,7
8,13,18,27,43,15
6,8,13,37,40,7
8,9,25,56,57,29
8,15,34,53,59,25
9,15,17,31,43,15
1,12,28,35,44,11
24,29,38,48,52,22
1,25,29,31,47,23
4,15,17,35,58,16
23,24,27,39,41,25
2,6,11,30,31,32
1,26,34,38,51,7
21,33,35,38,45,17
10,14,25,39,53,30
13,22,23,29,31,33
1,16,21,29,40,6
1,12,32,42,58,12
1,19,45,46,58,18
33,39,40,41,54,17
2,30,33,39,44,30
2,4,6,12,38,12
7,19,23,50,54,29
11,16,30,38,42,28
14,25,30,33,47,1
8,14,39,46,47,17
11,24,31,40,44,14
34,36,38,42,50,7
8,12,15,35,50,8
11,17,25,28,46,18
17,19,21,32,39,27
10,14,18,34,51,33
1,9,29,32,49,32
1,24,44,45,51,12
11,13,25,39,54,8
5,10,21,34,58,26
24,36,51,52,56,22
5,11,16,26,50,28
12,24,35,36,49,19
16,19,20,29,33,33
11,12,15,28,57,22
15,16,23,27,36,34
2,4,10,41,53,1
2,9,19,28,29,10
14,15,47,49,59,23
4,18,43,46,55,9
17,27,37,40,53,22
7,10,11,14,36,19
11,12,46,47,50,10
14,15,19,31,56,25
22,31,38,47,48,35
5,13,28,43,55,15
34,44,48,54,55,22
12,15,22,43,49,5
25,30,32,46,54,15
13,24,30,42,48,33
16,17,22,46,54,10
23,49,53,54,57,14
6,36,38,48,51,26
13,16,33,35,51,27
37,39,51,52,55,35
9,19,33,38,54,35
2,11,19,21,42,17
1,3,13,25,38,28
25,28,48,57,59,11
6,10,51,54,57,15
29,30,40,42,50,34
20,26,27,36,54,17
5,7,19,27,28,16
10,19,37,38,39,12
5,16,31,46,50,16
13,18,24,25,33,19
1,4,18,20,45,20
2,11,35,52,54,28
7,14,21,24,41,18
22,23,30,37,39,31
18,25,36,48,50,7
1,6,16,37,53,13
2,14,39,40,43,26
9,29,31,43,50,16
2,16,43,45,51,23
5,28,31,52,59,27
17,24,26,45,46,13
28,32,35,36,52,18
4,8,21,38,40,35
7,8,17,48,59,27
8,37,39,40,52,19
3,12,31,34,51,31
1,8,24,28,49,3
12,26,44,46,47,9
13,30,42,49,53,24
24,28,30,38,39,24
4,10,12,22,31,24
10,17,25,45,53,29
5,15,18,26,32,29
2,3,7,23,51,16
9,25,42,55,57,3
24,34,36,57,58,9
8,18,45,53,58,35
8,12,34,43,56,26
10,20,25,50,53,14
5,6,37,41,54,11
6,9,29,52,59,35
9,33,42,45,54,9
14,18,25,33,49,35
28,30,35,58,59,26
1,7,10,22,49,7
15,27,31,34,48,30
2,24,28,32,59,23
15,16,28,49,55,15
4,20,34,39,58,24
23,32,39,47,49,1
7,33,39,52,55,25
4,31,41,47,55,18
17,29,31,48,49,31
5,15,16,46,49,22
2,9,11,19,50,33
3,7,22,30,33,1
19,25,29,36,48,34
5,6,29,35,51,26
34,39,42,44,59,32
14,26,45,54,55,20
9,14,44,48,49,12
11,21,26,33,34,21
8,13,19,22,53,8
2,3,12,27,38,20
28,33,41,44,59,29
13,28,31,55,58,29
2,19,23,34,43,24
2,5,34,51,58,17
14,15,28,37,54,21
10,14,24,32,41,15
3,7,9,26,54,14
3,8,25,30,47,9
11,12,17,38,42,10
2,3,13,14,54,30
1,17,35,49,54,19
2,9,14,21,23,13
36,44,49,52,57,2
24,25,34,37,54,4
8,17,32,57,59,34
5,12,15,27,38,3
11,23,28,32,47,1
8,12,18,55,57,29
13,14,19,31,38,24
7,8,9,24,29,7
10,15,33,48,54,20
10,28,39,47,58,2
19,20,37,41,58,29
15,24,40,48,52,25
8,35,44,51,56,25
23,28,38,39,56,34
25,36,40,45,51,22
7,24,37,39,40,14
14,25,32,33,41,23
1,10,13,18,19,18
13,20,32,45,48,32
6,9,11,31,44,8
5,26,44,45,57,1
18,25,50,55,57,34
5,12,43,52,55,27
4,18,23,32,45,17
10,29,37,44,59,25
5,31,50,55,56,29
3,9,37,49,56,17
1,5,10,15,49,10
13,23,24,27,40,7
2,36,40,49,54,10
4,6,34,49,56,9
3,23,31,34,47,32
9,33,54,56,57,22
3,26,28,34,42,17
8,10,26,57,58,10
3,9,19,33,38,29
11,12,17,39,40,13
4,6,25,42,51,5
14,47,52,53,54,28
2,7,17,49,53,4
12,17,45,54,58,18
7,10,22,32,35,5
1,17,25,37,44,17
11,19,33,42,52,5
2,19,22,26,45,23
2,9,26,45,47,13
2,7,25,40,56,19
6,7,9,19,32,20
12,17,25,45,59,33
30,40,42,46,48,24
18,21,46,54,56,11
4,11,17,43,51,20
4,12,14,37,58,13
5,25,30,58,59,19
21,24,36,42,45,23
8,24,39,49,59,23
9,23,40,53,58,20
9,29,40,44,54,13
14,25,27,38,58,32
1,22,34,38,42,15
2,8,22,35,37,5
30,31,45,55,59,6
2,13,35,36,52,7
3,6,29,40,51,6
8,28,30,53,56,17
1,18,33,39,46,6
13,19,23,33,57,27
7,46,47,52,57,11
28,36,40,48,55,4
16,22,23,42,55,16
2,11,22,26,32,33
4,26,33,36,55,28
22,28,33,53,59,17
9,14,17,49,57,1
2,6,19,21,27,32
9,31,35,41,57,19
10,13,14,22,52,32
2,11,26,34,41,14
6,13,19,23,43,2
21,22,26,30,57,25
7,12,26,36,40,26
22,26,31,54,55,11
3,23,48,54,55,32
9,19,31,56,59,16
6,8,30,39,48,27
13,18,36,48,58,17
10,12,31,56,57,18
1,36,40,52,53,5
4,7,8,29,39,2
11,23,26,46,55,20
7,37,43,48,52,28
17,29,31,52,53,33
13,14,17,43,54,20
3,7,21,44,53,24
5,9,28,32,38,3
10,37,40,46,52,27
6,10,23,41,45,16
3,8,13,41,56,31
3,14,20,34,48,15
2,5,31,39,41,16
3,17,19,25,32,29
15,16,46,50,58,12
12,23,25,27,43,1
5,6,16,36,58,16
5,27,36,38,41,21
11,16,33,40,41,29
14,16,32,47,52,17
3,22,26,41,49,29
11,12,24,43,45,29
8,28,29,34,38,3
9,21,28,32,51,12
10,14,21,23,47,34
11,13,20,27,59,16
26,30,49,51,54,18
18,20,28,35,53,9
36,46,50,52,55,35
11,13,23,43,54,35
1,18,35,39,44,7
5,8,20,23,30,26
15,23,40,44,55,25
8,10,25,36,44,20
7,23,26,40,53,14
13,17,19,27,38,4
3,10,19,36,46,11
5,16,22,23,29,3
22,32,37,44,50,14
8,18,24,30,39,28
3,15,27,58,59,21
8,10,30,44,58,12
32,42,50,54,55,3
32,34,45,52,58,6
4,7,9,30,54,34
1,27,31,45,48,26
22,32,34,36,56,20
3,18,21,23,50,13
4,21,28,31,44,32
1,7,10,23,42,20
2,5,25,26,49,25
18,26,29,35,43,5
15,26,34,36,59,33
17,23,36,55,59,4
14,18,28,29,57,10
13,26,39,41,42,35
2,16,18,40,42,18
1,5,8,39,50,28
3,20,26,43,48,35
24,33,36,48,56,10
6,20,34,44,48,8
4,19,26,42,51,10
8,11,21,44,49,33
25,28,49,54,56,23
1,6,7,20,49,1
22,29,31,47,55,6
14,26,41,55,59,29
6,27,46,51,56,29
4,13,39,46,51,22
3,7,11,15,28,28
19,30,48,53,55,23
3,16,48,56,58,19
5,6,13,36,50,1
3,14,35,38,46,21
9,31,38,54,56,1
2,5,20,23,57,12
4,16,32,37,46,18
5,22,36,49,55,4
3,5,29,39,59,13
14,19,35,39,56,16
7,15,20,41,44,20
6,34,40,46,58,3
1,3,41,44,53,13
11,17,29,56,57,23
8,14,15,16,27,29
7,10,14,33,57,33
18,22,45,56,57,22
19,30,33,48,59,6
9,10,17,29,45,30
9,10,24,52,56,14
13,14,41,49,59,26
4,7,26,53,59,18
8,13,35,46,51,27
3,7,21,28,43,27
10,24,35,53,58,33
1,7,11,55,56,14
9,12,20,44,59,14
7,8,33,38,50,32
31,39,40,57,58,30
4,25,29,34,43,2
6,8,20,42,51,22
20,22,39,46,49,1
14,15,16,19,24,23
16,23,42,44,47,29
5,13,17,20,30,33
1,24,33,45,49,29
5,14,36,54,58,16
11,16,29,50,58,29
1,15,35,37,47,2
32,43,53,55,56,2
11,14,49,55,58,18
1,8,41,46,59,6
