Wk,Pts,Pts.1,home_results,loser_rank,winner_rank,winner,loser,date_time,win_new,lose_new
4,40.0,14.0,1,99,99,Central Florida,Florida Atlantic,2022-09-17 19:00:00,46,80
4,41.0,0.0,0,99,99,Central Michigan,Bucknell,2022-09-17 12:00:00,47,52
4,42.0,41.0,1,99,99,Charlotte,Georgia State,2022-09-17 20:00:00,48,88
4,38.0,17.0,3,99,99,Cincinnati,Miami (OH),2022-09-17 13:00:00,49,125
4,48.0,20.0,0,99,5,Clemson,Louisiana Tech,2022-09-17 18:00:00,50,114
4,38.0,26.0,0,99,99,Coastal Carolina,Buffalo,2022-09-17 18:00:00,51,53
4,49.0,20.0,0,99,99,Duke,North Carolina A&T,2022-09-17 11:00:00,56,145
4,49.0,10.0,0,99,99,East Carolina,Campbell,2022-09-17 19:30:00,57,57
4,30.0,21.0,1,99,99,Eastern Michigan,Arizona State,2022-09-17 12:00:00,59,37
4,31.0,28.0,0,99,18, Florida,South Florida,2022-09-17 12:00:00,4,177
4,48.0,7.0,1,99,1,Georgia,South Carolina,2022-09-17 19:30:00,65,173
4,33.0,30.0,0,99,99,Indiana,Western Kentucky,2022-09-17 14:00:00,74,218
4,27.0,0.0,0,99,99,Iowa,Nevada,2022-09-17 16:00:00,75,137
4,43.0,10.0,0,99,99,Iowa State,Ohio,2022-09-17 12:00:00,76,156
4,48.0,30.0,1,99,99,Kansas,Houston,2022-09-17 12:00:00,78,92
4,63.0,10.0,0,99,99,Kent State,Long Island,2022-09-17 18:00:00,80,111
4,31.0,0.0,0,99,9,Kentucky,Youngstown State,2022-09-17 19:30:00,81,223
4,31.0,16.0,0,99,99,Louisiana State,Mississippi State,2022-09-17 15:30:00,84,129
4,34.0,27.0,0,99,99,Maryland,Southern Methodist,2022-09-17 19:00:00,89,182
4,20.0,3.0,0,99,99,Massachusetts,Stony Brook,2022-09-17 12:00:00,90,188
4,44.0,32.0,0,99,99,Memphis,Arkansas State,2022-09-17 19:00:00,91,39
4,59.0,0.0,0,99,4,Michigan,Connecticut,2022-09-17 15:30:00,94,69
4,49.0,6.0,0,99,99,Middle Tennessee State,Tennessee State,2022-09-17 15:30:00,96,191
4,49.0,7.0,0,99,99,Minnesota,Colorado,2022-09-17 12:00:00,97,67
4,42.0,0.0,1,99,20, Mississippi,Georgia Tech,2022-09-17 15:00:00,11,89
4,34.0,17.0,0,99,99,Missouri,Abilene Christian,2022-09-17 20:00:00,100,26
4,58.0,27.0,0,99,99,Nevada-Las Vegas,North Texas,2022-09-17 19:00:00,104,148
4,27.0,10.0,0,99,99,New Mexico,Texas-El Paso,2022-09-17 14:30:00,105,199
4,27.0,14.0,0,99,16, North Carolina State,Texas Tech,2022-09-17 19:00:00,13,198
4,24.0,17.0,0,99,99,Notre Dame,California,2022-09-17 12:00:00,111,55
4,77.0,21.0,0,99,3,Ohio State,Toledo,2022-09-17 19:00:00,113,201
4,49.0,14.0,1,99,6,Oklahoma,Nebraska,2022-09-17 15:30:00,114,136
4,63.0,7.0,0,99,8,Oklahoma State,Arkansas-Pine Bluff,2022-09-17 20:00:00,115,40
4,41.0,20.0,0,12,25, Oregon, Brigham Young,2022-09-17 15:30:00,15,2
4,68.0,28.0,3,99,99,Oregon State,Montana State,2022-09-17 19:30:00,118,132
4,41.0,12.0,1,99,22, Penn State,Auburn,2022-09-17 19:30:00,16,42
4,34.0,13.0,1,99,23, Pittsburgh,Western Michigan,2022-09-17 14:00:00,17,219
4,33.0,21.0,0,99,99,Rice,Louisiana,2022-09-17 10:30:00,122,112
4,16.0,14.0,1,99,99,Rutgers,Temple,2022-09-17 12:00:00,123,190
4,45.0,17.0,0,99,7,Southern California,Fresno State,2022-09-17 19:00:00,130,84
4,31.0,24.0,1,99,99,Southern Illinois,Northwestern,2022-09-17 12:00:00,131,153
4,64.0,10.0,0,99,99,Southern Mississippi,Northwestern State,2022-09-17 19:00:00,133,154
4,32.0,29.0,0,99,99,Syracuse,Purdue,2022-09-17 20:00:00,135,162
4,63.0,6.0,0,99,15, Tennessee,Akron,2022-09-17 21:00:00,20,28
4,41.0,20.0,0,99,21, Texas,Texas-San Antonio,2022-09-17 15:00:00,21,200
4,17.0,9.0,0,13,24, Texas A&M, Miami (FL),2022-09-17 19:00:00,22,11
4,17.0,10.0,1,99,99,Tulane,Kansas State,2022-09-17 14:00:00,147,104
4,54.0,17.0,0,99,99,Tulsa,Jacksonville State,2022-09-17 10:00:00,148,103
4,32.0,31.0,0,99,99,UCLA,South Alabama,2022-09-17 15:30:00,149,172
4,35.0,7.0,0,99,14, Utah,San Diego State,2022-09-17 14:00:00,25,170
4,38.0,28.0,1,99,99,Vanderbilt,Northern Illinois,2022-09-17 11:00:00,151,151
4,16.0,14.0,0,99,99,Virginia,Old Dominion,2022-09-17 17:00:00,152,159
4,27.0,7.0,0,99,99,Virginia Tech,Wofford,2022-09-17 19:30:00,153,221
4,37.0,36.0,0,99,19, Wake Forest,Liberty,2022-09-17 17:00:00,26,110
4,39.0,28.0,0,11,99,Washington, Michigan State,2022-09-17 13:00:00,154,12
4,38.0,7.0,0,99,99,Washington State,Colorado State,2022-09-17 15:30:00,155,68
4,65.0,7.0,0,99,99,West Virginia,Towson,2022-09-17 12:00:00,157,202
4,66.0,7.0,0,99,99,Wisconsin,New Mexico State,2022-09-17 19:30:00,161,141
4,24.0,14.0,0,99,99,Hawaii,Duquesne,2022-09-18 20:30:00,69,71
5,41.0,24.0,1,99,99,Coastal Carolina,Georgia State,2022-09-22 19:30:00,51,88
5,31.0,0.0,0,99,99,Illinois,Chattanooga,2022-09-22 20:00:00,72,63
5,33.0,10.0,1,99,99,West Virginia,Virginia Tech,2022-09-22 19:00:00,157,212
5,48.0,20.0,0,99,99,Air Force,Nevada,2022-09-23 21:00:00,29,137
5,22.0,20.0,0,99,99,Syracuse,Virginia,2022-09-23 19:30:00,135,210
5,27.0,10.0,0,99,99,Texas-El Paso,Boise State,2022-09-23 12:00:00,143,47
5,55.0,3.0,0,99,2,Alabama,Vanderbilt,2022-09-24 12:00:00,31,208
5,17.0,14.0,0,99,99,Auburn,Missouri,2022-09-24 10:15:00,39,130
5,31.0,24.0,1,99,17, Baylor,Iowa State,2022-09-24 12:00:00,1,102
5,38.0,24.0,0,99,19, Brigham Young,Wyoming,2022-09-24 17:30:00,2,222
5,50.0,31.0,1,99,99,Buffalo,Eastern Michigan,2022-09-24 16:00:00,44,75
5,49.0,31.0,0,99,99,California,Arizona,2022-09-24 15:30:00,45,36
5,27.0,10.0,0,99,99,Central Florida,Georgia Tech,2022-09-24 12:00:00,46,89
5,45.0,24.0,0,99,99,Cincinnati,Indiana,2022-09-24 20:00:00,49,99
5,51.0,45.0,1,21,5,Clemson, Wake Forest,2022-09-24 12:00:00,50,23
5,44.0,14.0,0,99,99,Florida State,Boston College,2022-09-24 18:00:00,63,48
5,39.0,22.0,0,99,1,Georgia,Kent State,2022-09-24 18:00:00,65,106
5,34.0,23.0,0,99,99,Georgia Southern,Ball State,2022-09-24 19:00:00,66,44
5,34.0,27.0,0,99,99,Houston,Rice,2022-09-24 15:30:00,71,164
