iter	Passed	Remaining
334	534	10603335	537	10623336	538	1060
337	540	1058
338	541	1055
339	542	1053
340	543	1051
341	545	1048
342	547	1048
343	552	1053
344	553	1051
345	555	1049
346	556	1046
347	557	1044
348	558	1042
349	560	1040
350	561	1037
351	564	1038
352	565	1036
353	566	1034
354	567	1030
355	568	1028
356	569	10253357	570	10233358	572	1022
359	576	1024
360	577	1021
361	578	1019
362	579	1017
363	581	1015
364	582	1013
365	583	1010
366	584	1008
367	587	1009
368	588	1007
3370	580	984
371	581	982
372	583	980
373	584	978
374	585	976
375	587	974
37375	599	99377	592	975
378	595	975
379	595	972
380	597	970
381	598	968
382	599	965
383	600	963
384	601	961
385	603	959
386	605	959
387	607	957
388	609	956
389	610	954
390	611	952
391	613	950
392	615	950
393	622	957
394	623	955
395	624	953
396	626	951
397	627	949
398	628	947
39398	640	96400	631	943
401	633	941
402	635	941
403	636	939
404	638	937
40404	651	9540405	652	954
406	653	95408	646	933
40408	661	955
409	663	954
410	664	952
411	666	951
412	670	952
413	672	951
414	673	949
415	674	947
416	676	945
417	677	943
418	679	941
419	682	942
420	684	940
421	685	939
422	686	937
423	688	935
424	689	933
425	693	934
426	694	932
427	695	929
428	697	927
429	698	925
430	699	92432	690	904
433	694	905
434	695	903
435	696	901
436	697	898
437	698	896
438	700	894
43438	714	912
439	715	9144440	716	9044441	719	908
442	720	905
443	722	904
444	723	901
445	724	899
446	725	897
447	726	895
448	727	892
449	731	894
450	732	892
451	733	889
452	735	888
453	737	886
454	740	887
455	742	885
456	743	883
457	745	882
458	746	880
459	748	878
460	749	876
461	753	877
462	754	875
463	755	873
464	757	871
465	758	869
466	759	867
467	760	864
468	764	866
469	766	863
