,country,goals,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
4,Spain18,0.1907692307692308,0.6807692307692309,0.3192307692307694,0.7630769230769232,1.4107692307692308,0.2676923076923076,0.5169230769230769,0.9815384615384614,0.42,0.4492307692307691,-0.3923076923076923,0.0946153846153846,-0.0169230769230769,-0.4100000000000001,0.1953846153846153,0.7261538461538463,5
0,Switzerland94,0.1169230769230769,0.0515384615384615,0.3500000000000001,0.2038461538461537,0.0523076923076923,0.103076923076923,-0.3369230769230769,-0.3361538461538462,-0.1861538461538461,0.073076923076923,-0.0761538461538461,-0.123076923076923,-0.0446153846153846,0.0946153846153846,0.1846153846153845,0.2092307692307691,15
0,Switzerland06,0.1130769230769231,0.0038461538461539,-0.05,-0.033076923076923,0.2253846153846154,0.1484615384615384,-0.013076923076923,-0.0723076923076923,0.5707692307692307,0.9584615384615384,0.2061538461538461,-0.0084615384615384,0.4792307692307692,-0.1515384615384615,0.1461538461538461,-0.0446153846153845,10
1,Switzerland10,-0.2223076923076923,0.1223076923076923,0.2515384615384615,0.1284615384615384,-0.1084615384615384,0.0715384615384616,0.0907692307692308,-0.0684615384615384,-0.4461538461538463,0.2761538461538461,0.3676923076923077,-0.1223076923076923,0.0592307692307692,0.4292307692307692,0.0423076923076922,0.2692307692307693,19
2,Switzerland14,0.3876923076923079,0.5507692307692307,0.0223076923076922,0.1384615384615384,0.0723076923076922,0.213076923076923,0.0099999999999999,0.0507692307692307,0.2046153846153846,-0.1946153846153846,-0.0607692307692307,-0.2153846153846154,-0.1299999999999999,0.3230769230769231,0.3823076923076922,0.2069230769230769,11
3,Switzerland18,0.2415384615384616,0.3307692307692305,0.5223076923076924,0.1815384615384616,0.2192307692307692,0.113076923076923,0.0453846153846153,0.2869230769230769,0.6792307692307691,0.503076923076923,-0.1723076923076923,0.4576923076923076,-0.2469230769230769,-0.04,0.1161538461538461,0.1869230769230769,14
0,France98,0.4453846153846154,0.3907692307692308,0.2438461538461537,0.2923076923076922,0.0915384615384615,0.1615384615384615,0.26,0.4561538461538462,0.3830769230769231,0.4861538461538461,-0.0853846153846153,-0.2830769230769231,0.1607692307692308,-0.0576923076923077,0.1315384615384615,0.4561538461538462,4
1,France86,0.3323076923076923,0.3623076923076924,-0.0438461538461538,0.3169230769230768,0.06,0.0192307692307692,0.1407692307692307,0.2099999999999999,0.3438461538461538,0.2761538461538462,-0.0576923076923077,0.1123076923076922,-0.0538461538461538,0.1430769230769231,0.0607692307692307,0.1923076923076923,3
2,France82,0.5007692307692306,0.2576923076923076,0.0807692307692307,0.1392307692307692,0.0315384615384615,-0.1946153846153846,0.4523076923076923,0.1684615384615385,0.0053846153846153,-0.0099999999999999,-0.0969230769230769,0.0315384615384615,0.0161538461538461,-0.0792307692307692,0.0753846153846154,0.2007692307692307,1
0,Brazil02,0.8438461538461538,0.7123076923076923,0.0169230769230768,0.2453846153846154,0.0107692307692307,-0.1815384615384615,0.9407692307692308,0.8346153846153844,0.2415384615384615,0.0353846153846153,-0.0392307692307692,0.1315384615384615,-0.1661538461538461,-0.1346153846153846,0.1007692307692308,0.3061538461538461,1
1,Brazil06,0.6192307692307693,0.3838461538461539,0.0653846153846154,0.2776923076923075,0.7015384615384617,0.0523076923076923,0.6984615384615385,0.7130769230769229,0.4584615384615385,0.3138461538461538,0.1323076923076923,0.0869230769230768,-0.1553846153846153,-0.0130769230769231,0.2861538461538462,0.4346153846153846,5
2,Brazil10,0.5576923076923076,0.1869230769230768,0.1415384615384615,0.3984615384615386,0.7792307692307692,0.2476923076923077,0.84,0.9376923076923078,0.8107692307692307,1.0315384615384615,-0.1146153846153846,0.3653846153846153,0.0046153846153846,0.2484615384615384,0.3315384615384617,0.5353846153846153,6
3,Brazil14,0.3284615384615386,0.3761538461538461,0.0292307692307691,0.4753846153846152,-0.0038461538461538,-0.1930769230769231,0.4199999999999999,0.4084615384615384,0.3746153846153847,0.3692307692307693,0.0192307692307692,0.1169230769230769,0.2692307692307692,0.4438461538461538,0.5515384615384615,0.2915384615384616,4
4,Brazil18,0.4276923076923077,0.8646153846153843,0.3523076923076924,1.153076923076923,0.5807692307692308,-0.0153846153846154,0.6638461538461539,1.0923076923076926,0.8130769230769231,0.8099999999999999,-0.1407692307692308,0.3484615384615385,-0.0261538461538461,-0.1869230769230769,0.4192307692307691,1.027692307692308,6
